,id,name,year,rating,genre,director,actor,other actor,area
15354,11445627,监控录像,2012,4.8,恐怖/,由拉特·史帕克/提瓦·马泰松,由拉特·史帕克/提瓦·马泰松,Akaranitimetharat,泰国
15355,24719177,拉拉队员都死了,2013,4.8,恐怖/奇幻/,拉齐·马凯/克里斯·赛弗森,拉齐·马凯/克里斯·赛弗森,SidneyAllison/CharonR.Arnold/肖伊·阿斯塔/SamBean/NicholasBloom,美国
15356,6087602,赛伦的领主,2012,4.8,惊悚/恐怖/,罗布·赞比,罗布·赞比,雪莉·穆恩·赞比/布鲁斯·戴维森/杰弗里·丹尼尔·菲利普斯/朱迪·吉森/梅格·福斯特,美国/英国/加拿大
15357,26384902,别杀它,2016,4.8,喜剧/动作/恐怖/奇幻/,迈克·门德兹,丹·伯克/Robert Olsen,詹姆斯·查尔克/杜夫·龙格尔/克里斯蒂娜·克莱伯/AaronMcPherson/迈克尔·艾伦·米利甘,美国
15358,1479895,阴阳路13：花鬼,2002,4.8,剧情/恐怖/,陈耀明,何东/林华勋,罗兰/王合喜/陈颖妍/张豪龙/唐家辉,香港
15359,30220721,Flight 666,2018,4.9,恐怖/,Rob Pallatina,雅各布·库尼/Brandon Stroud,蕾妮·威利特/保罗·罗根/LizFenning,美国
15360,1298885,猛鬼迫人,1985,4.9,恐怖/,庄保文/古森林,卢保伦,商天娥/潘震伟/关海山/胡枫/玄智慧,香港
15361,3291070,挫折,1971,4.8,恐怖/,José Bénazéraf,José Bénazéraf/米歇尔·勒穆瓦纳,JanineReynaud/MichelLemoine,法国
15362,3279143,三十极夜2：黑暗的日子,2010,4.7,恐怖/,Ben Ketai,Steve Niles/Ben Ketai,KieleSanchez,美国
15363,3583797,黑暗来临,2010,4.7,惊悚/恐怖/,Marcos Efron,Brian Clemens/Jennifer Derwingson/特瑞·内辛,KarlUrban/AmberHeard/OdetteYustman/AdrianaBarraza,美国/阿根廷/法国
15364,25745786,午夜43路,2014,4.7,惊悚/恐怖/,杜玉贞,杜玉贞,张兆辉/周俊伟/李梓宸/蔡瀚亿/邵音音,香港
15365,4166518,终极囚禁,2010,4.7,剧情/惊悚/恐怖/,Joey Stewart,Jason Kabolati,JaschaWashington/WhitneyHoy/MarcDonato/JustinArnold/TravisTedford,美国
15366,2977956,死亡阴影,2010,4.7,惊悚/恐怖/犯罪/,斯蒂文·梅纳,斯蒂文·梅纳,迈克尔·比恩/亚历珊德拉·达达里奥/布雷特·里克比/诺兰·杰拉德·冯克/斯宾塞·李斯特,美国
15367,5265210,慢性折磨呕吐室,2010,4.7,恐怖/,路西尔.维纶泰恩,hope likens/艾梅拉·勒维,hopelikens/艾梅拉·勒维,美国
